point_name,point_id,X,Y,comment
探测起点,0,0.0,0.0,探测起点设为坐标原点
单点采样点1-1,101,417.692662590225,1697.70672919326,单点采样区域1
单点采样点1-2,102,346.596684236881,1613.70840550675,
单点采样点1-3,103,259.341150888915,1633.62154460891,
单点采样点1-4,104,298.9669264573,1847.04038969473,
单点采样点1-5,105,558.580940376154,1620.70330489241,
单点采样点2-1,201,-10007.4335312792,3713.2200147298,单点采样区域2
单点采样点2-2,202,-10076.5285140797,3603.71263243262,
单点采样点2-3,203,-10173.879979535,3639.04431571254,
单点采样点2-4,204,-10103.3600453559,3813.67867611958,
单点采样点2-5,205,-10190.5852605894,3771.85810745213,
单点采样点2-6,206,-9836.31809340019,3609.63597276346,
单点采样点3-1,301,-7047.9004724562,-252.649812704118,单点采样区域3
单点采样点3-2,302,-7130.09288069325,-75.9318652460324,
单点采样点3-3,303,-7228.02039032281,-354.44792291243,
单点采样点3-4,304,-7022.00880272751,-451.662141608432,
单点采样点3-5,305,-6879.14984750324,-257.948076919639,
单点采样点3-6,306,-7234.17496755343,-217.407426012137,
单点采样点4-1,401,-8819.11503594472,1963.51290584826,单点采样区域4
单点采样点4-2,402,-8626.83755418916,1928.35981574417,
单点采样点4-3,403,-8930.07933478192,1803.16599950554,
单点采样点4-4,404,-8949.84674539447,2031.43784371241,
单点采样点4-5,405,-8790.64632648898,2163.23960745579,
单点采样点5-1,501,-1996.29624506431,-7790.47245280687,单点采样区域5
单点采样点5-2,502,-2165.65323230598,-7900.06913169196,
单点采样点5-3,503,-1883.84635861971,-7945.87828128571,
单点采样点5-4,504,-2131.72726225168,-7683.43560944165,
单点采样点5-5,505,-1842.12863315527,-7665.96324374217,
单点采样点6-1,601,2945.70799864001,-4836.24366971496,单点采样区域6
单点采样点6-2,602,3133.19461195236,-4896.98231584004,
单点采样点6-3,603,2902.79301083646,-5024.58416339908,
单点采样点6-4,604,2753.38625243732,-4836.18175741402,
单点采样点6-5,605,2860.22334635631,-4661.56347039278,
单点采样点6-6,606,3124.92110170382,-4761.28811383,
单点采样点7-1,701,2180.32719969326,-8938.64798005109,单点采样区域7
单点采样点7-2,702,2356.50727858887,-9012.81921423898,
单点采样点7-3,703,2104.38487074728,-9104.90245099412,
单点采样点7-4,704,2001.38241194222,-8950.97894587447,
单点采样点7-5,705,2180.78075868522,-8759.65058835913,
单点采样点8-1,801,-432.305993748509,-8723.08601685562,单点采样区域8
单点采样点8-2,802,-401.568882970636,-8901.58156172355,
单点采样点8-3,803,-590.553211136145,-8786.39313050404,
单点采样点8-4,804,-456.727841289316,-8546.58059527672,
单点采样点8-5,805,-298.526101073381,-8620.61371740865,
单点采样点9-1,901,-3085.65641487836,-10072.2979289966,单点采样区域9
单点采样点9-2,902,-2970.20442874231,-10160.6506519645,
单点采样点9-3,903,-3138.28259791707,-10151.2935601735,
单点采样点9-4,904,-3250.77280745387,-10045.1279538509,
单点采样点9-5,905,-3125.35707618941,-9897.48467775841,
单点采样点9-6,906,-2941.54683743357,-9979.58068646732,
单点采样点10-1,1001,4278.49230926388,-4243.90963663155,单点采样区域10
单点采样点10-2,1002,4165.16198477606,-4231.37388396656,
单点采样点10-3,1003,4166.78521662297,-4093.21896564923,
单点采样点10-4,1004,4448.41321343408,-4187.49235005033,
单点采样点10-5,1005,4360.80053269807,-4399.86523443653,
单点采样点10-6,1006,4244.32773564893,-4300.57397710594,
单点采样点11-1,1101,4831.82821584247,8985.82634399265,单点采样区域11
单点采样点11-2,1102,4976.23066627272,8857.73604409776,
单点采样点11-3,1103,4725.42709640913,8828.49528107866,
单点采样点11-4,1104,4638.08909778991,9011.08269325956,
单点采样点11-5,1105,4992.7270555187,9008.86069649726,
单点采样点12-1,1201,3129.43577212455,2042.83804143457,单点采样区域12
单点采样点12-2,1202,3125.72665400443,1972.87148591571,
单点采样点12-3,1203,2960.68302490356,1954.52758551829,
单点采样点12-4,1204,2970.14348933231,2134.77125992205,
单点采样点12-5,1205,3184.89730522535,2217.17206765099,
单点采样点12-6,1206,3238.12954737159,2135.03260126931,
单点采样点13-1,1301,-921.124952806491,4205.24421406996,单点采样区域13
单点采样点13-2,1302,-1023.3794637284,4043.80163859367,
单点采样点13-3,1303,-754.85950369388,4223.88130493098,
单点采样点13-4,1304,-977.059751673649,4393.3626569055,
单点采样点13-5,1305,-1100.57544670632,4229.75702041494,
单点采样点14-1,1401,-1628.11306334877,8613.51910349983,单点采样区域14
单点采样点14-2,1402,-1484.64380448086,8507.98660998544,
单点采样点14-3,1403,-1575.07879848976,8599.69241982907,
单点采样点14-4,1404,-1732.66144280895,8565.01915005729,
单点采样点14-5,1405,-1792.17347599839,8666.8976271947,
单点采样点15-1,1501,-3397.50853997113,3323.70829830119,单点采样区域15
单点采样点15-2,1502,-3338.09413111011,3444.35096510976,
单点采样点15-3,1503,-3467.68557627591,3471.40425938055,
单点采样点15-4,1504,-3547.14541285881,3334.72779490359,
单点采样点15-5,1505,-3534.54823631046,3394.90774204368,
连续采样点1-1,10101,-4045.61887227789,-1996.34428466692,多点连续采样区域1
连续采样点1-2,10102,-4209.70505532481,-2062.54907259279,
连续采样点1-3,10103,-4034.85290984152,-1814.79568945862,
连续采样点1-4,10104,-3858.74892941314,-2025.61689680237,
连续采样点1-5,10105,-4090.4223754297,-2173.44471917655,
连续采样点1-6,10106,-4235.81077094141,-2084.76130117812,
连续采样点2-1,10201,-3319.5303496407,-1520.12558138544,多点连续采样区域2
连续采样点2-2,10202,-3151.79174334761,-1613.8170496887,
连续采样点2-3,10203,-3416.81784387449,-1672.66350111614,
连续采样点2-4,10204,-3514.92665582841,-1506.89004112659,
连续采样点2-5,10205,-3352.94697537249,-1331.76365652022,
连续采样点2-6,10206,-3142.03658684655,-1449.01841078378,
连续采样点3-1,10301,-2992.85266658859,-930.559742526981,多点连续采样区域3
连续采样点3-2,10302,-2839.04644660359,-1057.02216562442,
连续采样点3-3,10303,-3149.40752682834,-1047.37485992277,
连续采样点3-4,10304,-3141.48419080154,-809.631624292437,
连续采样点3-5,10305,-2991.3534358297,-744.406419935849,
连续采样点3-6,10306,-2810.55893991686,-881.077824272836,
