day,No,task_id,action,location,time,power,revenue
1,1,100,离开科考站,"(0,0)",10.0,40.0,0.0
1,2,101,适应行走,"(0,0)",5.0,30.0,0.0
1,3,102,丢弃垃圾,"(0,0)",2.0,12.0,0.0
1,4,103,拿取工具包裹 ,"(0,0)",10.0,60.0,0.0
1,5,104,树立标志物 ,"(0,0)",15.0,90.0,0.0
1,6,105,准备作业车辆,"(0,0)",20.0,120.0,0.0
1,7,106,进行视频通话,"(0,0)",40.0,240.0,0.0
1,8,20,放置探测作业设备Ⅱ,"(0,0)",10.0,100.0,10.0
1,9,107,执行就近探测,"(0,0)",5.0,30.0,0.0
1,10,108,装载探测设备至作业车辆,"(0,0)",20.0,120.0,0.0
1,11,109,试驾作业车辆,"(0,0)",20.0,210.0,0.0
1,12,110,执行出行前通信设备准备,"(0,0)",2.0,12.0,0.0
1,13,,"Travel from (0,0) to (-2810.55894,-881.07782)","(0,0)→(-2810.55894,-881.07782)",16.17529,272.92918,0.0
1,14,18,放置探测作业设备Ⅰ,"(-2810.55894,-881.07782)",15.0,100.0,10.0
1,15,,"Travel from (-2810.55894,-2810.55894) to (-921.12495,4205.24421)","(-2810.55894,-881.07782)→(-921.12495,4205.24421)",29.82205,499.3717,0.0
1,16,12,执行单点采样13,"(-921.12495,4205.24421)",30.0,200.0,6.0
1,17,,"Travel from (-921.12495,-921.12495) to (558.58094,1620.7033)","(-921.12495,4205.24421)→(558.58094,1620.7033)",16.15918,275.08147,0.0
1,18,0,执行单点采样1,"(558.58094,1620.7033)",20.0,133.33333,5.0
1,19,,"Travel from (558.58094,558.58094) to (0,0)","(558.58094,1620.7033)→(0,0)",9.21052,155.08554,0.0
1,20,111,执行返回后通信设备调整,"(0,0)",2.0,12.0,0.0
1,21,21,回收探测作业设备Ⅱ,"(0,0)",10.0,60.0,3.0
1,22,112,进行作业车辆整备维护,"(0,0)",15.0,90.0,0.0
1,23,113,筛选探测样品,"(0,0)",10.0,60.0,0.0
1,24,114,进入科考站,"(0,0)",15.0,90.0,0.0
2,1,100,离开科考站,"(0,0)",10.0,0.0,0.0
2,2,102,丢弃垃圾,"(0,0)",2.0,0.0,0.0
2,3,117,结束作业车辆整备维护,"(0,0)",10.0,60.0,0.0
2,4,110,执行出行前通信设备准备,"(0,0)",2.0,12.0,0.0
2,5,,void2,"(0,0)",0.0,0.0,0.0
2,6,,"Travel from (0,0) to (2753.38625,-4836.18176)","(0,0)→(2753.38625,-4836.18176)",30.03888,504.87519,0.0
2,7,5,执行单点采样6,"(2753.38625,-4836.18176)",30.0,200.0,6.0
2,8,,"Travel from (2753.38625,2753.38625) to (2180.78076,-8759.65059)","(2753.38625,-4836.18176)→(2180.78076,-8759.65059)",20.9246,348.62664,0.0
2,9,6,执行单点采样7,"(2180.78076,-8759.65059)",30.0,200.0,7.0
2,10,,"Travel from (2180.78076,2180.78076) to (-432.30599,-8723.08602)","(2180.78076,-8759.65059)→(-432.30599,-8723.08602)",13.28598,227.55055,0.0
2,11,7,执行单点采样8,"(-432.30599,-8723.08602)",30.0,200.0,7.5
2,12,,"Travel from (-432.30599,-432.30599) to (-8790.64633,2163.23961)","(-432.30599,-8723.08602)→(-8790.64633,2163.23961)",75.82065,1317.84129,0.0
2,13,3,执行单点采样4,"(-8790.64633,2163.23961)",30.0,200.0,6.0
2,14,,"Travel from (-8790.64633,-8790.64633) to (-10007.43353,3713.22001)","(-8790.64633,2163.23961)→(-10007.43353,3713.22001)",10.12314,155.50697,0.0
2,15,1,执行单点采样2,"(-10007.43353,3713.22001)",20.0,133.33333,10.0
2,16,,"Travel from (-10007.43353,-10007.43353) to (0,0)","(-10007.43353,3713.22001)→(0,0)",58.556,961.95798,0.0
2,17,111,执行返回后通信设备调整,"(0,0)",2.0,12.0,0.0
2,18,112,进行作业车辆整备维护,"(0,0)",15.0,90.0,0.0
2,19,113,筛选探测样品,"(0,0)",10.0,60.0,0.0
2,20,114,进入科考站,"(0,0)",15.0,90.0,0.0
3,1,100,离开科考站,"(0,0)",10.0,0.0,0.0
3,2,102,丢弃垃圾,"(0,0)",2.0,0.0,0.0
3,3,117,结束作业车辆整备维护,"(0,0)",10.0,60.0,0.0
3,4,,void3,"(0,0)",0.0,0.0,0.0
3,5,110,执行出行前通信设备准备,"(0,0)",2.0,12.0,0.0
3,6,22,开启探测作业设备Ⅱ,"(0,0)",10.0,60.0,3.0
3,7,,"Travel from (0,0) to (-2810.55894,-881.07782)","(0,0)→(-2810.55894,-881.07782)",16.17529,272.92918,0.0
3,8,19,放置探测作业设备Ⅲ,"(-2810.55894,-881.07782)",15.0,100.0,10.0
3,9,,"Travel from (-2810.55894,-2810.55894) to (-7047.90047,-252.64981)","(-2810.55894,-881.07782)→(-7047.90047,-252.64981)",25.75279,501.03137,0.0
3,10,2,执行单点采样3,"(-7047.90047,-252.64981)",30.0,200.0,7.0
3,11,,"Travel from (-7047.90047,-7047.90047) to (-3534.54824,3394.90774)","(-7047.90047,-252.64981)→(-3534.54824,3394.90774)",27.30443,370.98969,0.0
3,12,14,执行单点采样15,"(-3534.54824,3394.90774)",30.0,200.0,7.5
3,13,,"Travel from (-3534.54824,-3534.54824) to (-2992.85267,-930.55974)","(-3534.54824,3394.90774)→(-2992.85267,-930.55974)",22.97762,384.1123,0.0
3,14,17,执行多点连续采样Ⅰ3,"(-2992.85267,-930.55974)",20.0,133.3,3.0
3,15,,"Travel from (-2992.85267,-2992.85267) to (-3352.94698,-1331.76366)","(-2992.85267,-930.55974)→(-3352.94698,-1331.76366)",3.00118,61.34678,0.0
3,16,16,执行多点连续采样Ⅰ2,"(-3352.94698,-1331.76366)",20.0,133.3,3.0
3,17,,"Travel from (-3352.94698,-3352.94698) to (0,0)","(-3352.94698,-1331.76366)→(0,0)",19.62218,314.6797,0.0
3,18,111,执行返回后通信设备调整,"(0,0)",2.0,12.0,0.0
3,19,113,筛选探测样品,"(0,0)",30.0,60.0,0.0
3,20,129,进行科教宣传直播,"(0,0)",45.0,270.0,0.0
3,21,130,停靠特种车辆至指定位置,"(0,0)",20.0,210.0,0.0
3,22,131,步行返回科考站点,"(0,0)",15.0,60.0,0.0
3,23,23,回收探测作业设备Ⅱ成果,"(0,0)",10.0,60.0,10.0
3,24,114,进入科考站,"(0,0)",15.0,90.0,0.0
