point_name,point_id,X,Y,comment
探测起点,0,0.0,0.0,探测起点设为坐标原点
单点采样点1-1,101,2158.58911164237,1636.7956981646,单点采样区域1
单点采样点1-2,102,2087.49313328902,1552.78112059461,
单点采样点1-3,103,2000.23759994106,1572.69811293846,
单点采样点1-4,104,2039.86337550944,1786.15825509891,
单点采样点1-5,105,2299.4773894283,1559.77737351061,
单点采样点2-1,201,-8266.53708222706,3652.69899050929,单点采样区域2
单点采样点2-2,202,-8335.63206502759,3543.17041826265,
单点采样点2-3,203,-8432.98353048286,3578.50893831072,
单点采样点2-4,204,-8362.4635963038,3753.17709089863,
单点采样点2-5,205,-8449.6888115373,3711.34842984766,
单点采样点2-6,206,-8095.42164434804,3549.09490477451,
单点采样点3-1,301,-5307.00402340406,-313.938242549791,单点采样区域3
单点采样点3-2,302,-5389.19643164111,-137.186099731583,
单点采样点3-3,303,-5487.12394127067,-415.756050944328,
单点采样点3-4,304,-5281.11235367537,-512.989080832204,
单点采样点3-5,305,-5138.25339845109,-319.237531992548,
单点采样点3-6,306,-5493.27851850128,-278.689036368778,
单点采样点4-1,401,-7078.21858689258,1902.65330897253,单点采样区域4
单点采样点4-2,402,-6885.94110513702,1867.49341665851,
单点采样点4-3,403,-7189.18288572978,1742.27537510665,
单点采样点4-4,404,-7208.95029634232,1970.59139048023,
单点采样点4-5,405,-7049.74987743684,2102.41865819104,
单点采样点5-1,501,-255.399796012172,-7853.21946998575,单点采样区域5
单点采样点5-2,502,-424.756783253842,-7962.83735609941,
单点采样点5-3,503,-142.949909567569,-8008.65536987695,
单点采样点5-4,504,-390.830813199541,-7746.16191472647,
单点采样点5-5,505,-101.232184103131,-7728.68616808099,
单点采样点6-1,601,4686.60444769215,-4898.41903631407,单点采样区域6
单点采样点6-2,602,4874.0910610045,-4959.16943551747,
单点采样点6-3,603,4643.6894598886,-5086.79597434977,
单点采样点6-4,604,4494.28270148947,-4898.35711203295,
单点采样点6-5,605,4601.11979540845,-4723.70503594108,
单点采样点6-6,606,4865.81755075596,-4823.44897634357,
单点采样点7-1,701,3921.2236487454,-9001.61717203566,单点采样区域7
单点采样点7-2,702,4097.40372764101,-9075.8027585409,
单点采样点7-3,703,3845.28131979942,-9167.90381363021,
单点采样点7-4,704,3742.27886099436,-9013.95052393143,
单点采样点7-5,705,3921.67720773736,-8822.58514390548,
单点采样点8-1,801,1308.59045530363,-8786.0134970669,单点采样区域8
单点采样点8-2,802,1339.32756608151,-8964.54358126445,
单点采样点8-3,803,1150.343237916,-8849.33286079846,
