task_id,task_name,time,power,tag
100,离开科考站,10,40,D1ss
101,适应行走,5,30,D1ss
102,丢弃垃圾,2,12,D1ss
103,拿取工具包裹 ,10,60,D1ss
104,树立标志物1,15,90,D1ss
105,准备作业车辆,20,120,D1ss
106,进行视频通话,40,240,D1ss
107,执行就近探测,5,30,D1se
108,装载探测设备至作业车辆,20,120,D1se
109,试驾作业车辆,20,210,D1se
110,执行出行前通信设备准备,2,12,D1se
111,执行返回后通信设备调整,2,12,D1es
112,进行作业车辆整备维护,15,90,D1ee
113,筛选探测样品,10,60,D1ee
114,进入科考站,15,90,D1ee
115,离开科考站,10,0,D2ss
116,丢弃垃圾,2,0,D2ss
117,结束作业车辆整备维护,10,60,D2ss
118,执行出行前通信设备准备,2,12,D2se
119,执行返回后通信设备调整,2,12,D2es
120,进行作业车辆整备维护,15,90,D2ee
121,筛选探测样品,10,60,D2ee
122,进入科考站,15,90,D2ee
123,离开科考站,10,0,D3ss
124,丢弃垃圾,2,0,D3ss
125,结束作业车辆整备维护,10,60,D3ss
126,执行出行前通信设备准备,2,12,D3se
127,执行返回后通信设备调整,2,12,D3es
128,筛选探测样品,30,60,D3es
129,树立标志物2,10,50,D3es
130,进行科教宣传直播,50,280,D3es
131,停靠特种车辆至指定位置,15,100,D3es
132,步行返回科考站点,15,60,D3es
133,进入科考站,15,60,D3ee
